Bosnia-Herzegovina,2,Fog.,Sarajevo / Butmir,"18 Nov 2024, 04:29:34","18 Nov 2024, 03:30",5,1013,100,2,24/12/2999
Botswana,21,Clear.,Seretse Khama International Airport,"18 Nov 2024, 05:29:36","18 Nov 2024, 04:00",16,1016,57,12,24/12/2999
Brazil,20,Passing clouds.,Brasilia Aeroporto,"18 Nov 2024, 00:29:36","17 Nov 2024, 23:00",N/A,1018,100,20,24/12/2999
British Virgin Islands,24,Light rain. Passing clouds.,Beef Island - Tortola,"17 Nov 2024, 23:29:36","17 Nov 2024, 22:00",16,1013,89,22,24/12/2999
Brunei,31,Partly sunny.,Brunei Airport,"18 Nov 2024, 11:29:36","18 Nov 2024, 10:30",9,1009,70,25,24/12/2999
Bulgaria,-3,Passing clouds.,Sofia Observ.,"18 Nov 2024, 05:29:36","18 Nov 2024, 02:00",15,1016,98,-3,24/12/2999
Cambodia,30,Sunny.,Phnom-Penh / Pochentong,"18 Nov 2024, 10:29:36","18 Nov 2024, 09:30",16,1010,62,22,24/12/2999
Cameroon,22,Fog.,Yaounde Airport,"18 Nov 2024, 04:29:37","18 Nov 2024, 03:00",4,1013,94,21,24/12/2999
Canada,4,Mostly cloudy.,Ottawa Int'L. Ont.,"17 Nov 2024, 22:29:37","17 Nov 2024, 21:00",24,1013,75,0,24/12/2999
Cayman Islands,27,Passing clouds.,Owen Roberts Airportgrand Cayman,"17 Nov 2024, 22:29:37","17 Nov 2024, 21:00",N/A,1013,79,23,24/12/2999
Central African Republic,24,Clear.,Bangui Airport,"18 Nov 2024, 04:29:38","18 Nov 2024, 03:00",7,1011,94,23,24/12/2999
Chad,21,Clear.,Ndjamena,"18 Nov 2024, 04:29:38","18 Nov 2024, 03:00",7,1011,33,4,24/12/2999
Chile,17,Clear.,Pudahuel,"18 Nov 2024, 00:29:38","17 Nov 2024, 23:00",16,1016,42,4,24/12/2999
China,5,Passing clouds.,Beijing Airport,"18 Nov 2024, 11:29:38","18 Nov 2024, 10:30",N/A,1040,39,-8,24/12/2999
Colombia,12,Passing clouds.,Bogota / Eldorado,"17 Nov 2024, 22:29:38","17 Nov 2024, 21:00",N/A,1027,100,12,24/12/2999
Congo,23,Thunderstorms. Passing clouds.,Brazzaville / Maya-Maya,"18 Nov 2024, 04:29:39","18 Nov 2024, 03:00",6,1012,94,22,24/12/2999
Congo Dem. Rep.,23,Thunderstorms. Passing clouds.,Brazzaville / Maya-Maya,"18 Nov 2024, 04:29:39","18 Nov 2024, 03:00",6,1012,94,22,24/12/2999
Cook Islands,25,Scattered clouds.,Rarotonga,"17 Nov 2024, 17:29:40","17 Nov 2024, 16:30",N/A,1017,79,21,24/12/2999
Costa Rica,19,Thunderstorms. Fog.,Tobias Bolanos International,"17 Nov 2024, 21:29:40","17 Nov 2024, 18:00",5,1016,100,19,24/12/2999
Cote d'Ivoire (Ivory Coast),23,Clear.,Yamoussoukro,"18 Nov 2024, 03:29:40","18 Nov 2024, 00:00",8,1010,93,22,24/12/2999
Croatia,2,Fog.,Zagreb / Pleso,"18 Nov 2024, 04:29:41","18 Nov 2024, 03:30",1,1013,93,1,24/12/2999
Cuba,21,Passing clouds.,Aeropuerto Jose Marti - Rancho-Boyeros - Habana,"17 Nov 2024, 22:29:41","17 Nov 2024, 20:50",9,1017,78,17,24/12/2999
Cyprus,13,Passing clouds.,Ercan,"18 Nov 2024, 05:29:41","18 Nov 2024, 04:20",N/A,1010,94,12,24/12/2999
Cyprus,13,Passing clouds.,Ercan,"18 Nov 2024, 05:29:41","18 Nov 2024, 04:20",N/A,1010,94,12,24/12/2999
Czechia,2,Clear.,Václav Havel Airport Prague,"18 Nov 2024, 04:29:42","18 Nov 2024, 03:30",16,1009,87,0,24/12/2999
Denmark,4,Clear.,Koebenhavn-Kastrup Airport,"18 Nov 2024, 04:29:42","18 Nov 2024, 03:20",N/A,996,87,2,24/12/2999
Djibouti,27,Passing clouds.,Djibouti  Ambouli,"18 Nov 2024, 06:29:42","18 Nov 2024, 05:00",N/A,1013,84,24,24/12/2999
Dominica,26,Overcast.,Melville Hall Airport,"17 Nov 2024, 23:29:43","17 Nov 2024, 20:00",24,1012,98,25,24/12/2999
Dominican Republic,25,Passing clouds.,Santo Domingo,"17 Nov 2024, 23:29:43","17 Nov 2024, 20:00",16,1013,89,24,24/12/2999
Ecuador,12,Passing clouds.,Latacunga Airport,"17 Nov 2024, 22:29:43","17 Nov 2024, 21:00",N/A,1029,82,9,24/12/2999
Egypt,18,Clear.,Cairo Airport,"18 Nov 2024, 05:29:43","18 Nov 2024, 04:30",16,1015,68,12,24/12/2999
El Salvador,24,Light rain. Passing clouds.,El Salvador Intl. Airport / Comalapa,"17 Nov 2024, 21:29:44","17 Nov 2024, 20:00",8,1011,100,24,24/12/2999
Equatorial Guinea,26,Passing clouds.,Malabo/Fernando Poo,"18 Nov 2024, 04:29:44","18 Nov 2024, 01:00",10,1012,94,25,24/12/2999
Estonia,3,Sprinkles. Passing clouds.,Tallinn,"18 Nov 2024, 05:29:44","18 Nov 2024, 04:20",N/A,980,87,1,24/12/2999
Ethiopia,10,Clear.,Addis Ababa Airport,"18 Nov 2024, 06:29:44","18 Nov 2024, 05:00",16,1026,58,2,24/12/2999
Falkland Islands,5,Light rain. Mostly cloudy.,Mount Pleasant Airport,"18 Nov 2024, 00:29:45","17 Nov 2024, 22:50",N/A,1007,100,5,24/12/2999
Fiji,30,Overcast.,Nausori,"18 Nov 2024, 15:29:45","18 Nov 2024, 12:00",50,1012,65,23,24/12/2999
Finland,1,Passing clouds.,Helsinki-Vantaa,"18 Nov 2024, 05:29:45","18 Nov 2024, 04:20",N/A,978,93,0,24/12/2999
France,6,Low clouds.,Villacoublay,"18 Nov 2024, 04:29:45","18 Nov 2024, 03:30",N/A,1015,100,6,24/12/2999
Gabon,27,Partly cloudy.,Libreville Airport,"18 Nov 2024, 04:29:45","18 Nov 2024, 03:00",N/A,1009,89,25,24/12/2999
Gambia,24,Clear.,Banjul / Yundum,"18 Nov 2024, 03:29:46","18 Nov 2024, 02:00",16,1009,83,21,24/12/2999
Georgia,5,Overcast.,Tbilisi,"18 Nov 2024, 07:29:46","18 Nov 2024, 04:00",N/A,1023,74,1,24/12/2999
Germany,4,Clear.,Berlin-Schoenefeld,"18 Nov 2024, 04:29:46","18 Nov 2024, 03:20",16,1005,81,1,24/12/2999
Ghana,27,Passing clouds.,Accra Airport,"18 Nov 2024, 03:29:46","18 Nov 2024, 02:00",N/A,1010,89,25,24/12/2999
Gibraltar,16,Passing clouds.,Gibraltar Airport,"18 Nov 2024, 04:29:46","18 Nov 2024, 03:20",N/A,1019,94,15,24/12/2999
Greece,13,Cool.,Athinai Airport,"18 Nov 2024, 05:29:47","18 Nov 2024, 02:00",N/A,1013,73,8,24/12/2999
Greenland,-2,Clear.,Godthaab / Nuuk,"18 Nov 2024, 01:29:47","17 Nov 2024, 23:50",N/A,1025,43,-13,24/12/2999
Grenada,26,Thundershowers. Passing clouds.,Point Salines Airport,"17 Nov 2024, 23:29:47","17 Nov 2024, 22:00",N/A,1012,84,23,24/12/2999
Guatemala,18,Drizzle. Mostly cloudy.,Guatemala Aeropuertola Aurora,"17 Nov 2024, 21:29:47","17 Nov 2024, 20:00",N/A,1018,88,16,24/12/2999
Guinea,27,Passing clouds.,Conakry / Gbessia,"18 Nov 2024, 03:29:47","18 Nov 2024, 02:00",N/A,1009,84,24,24/12/2999
Guinea-Bissau,23,Clear.,Bissau Aeroport,"18 Nov 2024, 03:29:48","18 Nov 2024, 02:00",8,1009,89,21,24/12/2999
Guyana,N/A,Partly sunny.,Georgetown,"17 Nov 2024, 23:29:48","17 Nov 2024, 17:00",13,N/A,N/A,N/A,24/12/2999
Haiti,27,Passing clouds.,Port-Au-Prince / Aeroport International,"17 Nov 2024, 22:29:48","17 Nov 2024, 21:00",7,1013,70,21,24/12/2999
Honduras,19,Scattered showers. Passing clouds.,Tegucigalpa Airport,"17 Nov 2024, 21:29:49","17 Nov 2024, 20:00",7,1017,100,19,24/12/2999
Hungary,0,Ice fog.,Ferenc Liszt International Airport,"18 Nov 2024, 04:29:49","18 Nov 2024, 03:30",1,1013,100,0,24/12/2999
Iceland,-3,Passing clouds.,Reykjavik Airport,"18 Nov 2024, 03:29:49","18 Nov 2024, 02:00",N/A,1025,46,-13,24/12/2999
India,17,Fog.,New Delhi / Safdarjung,"18 Nov 2024, 08:59:49","17 Nov 2024, 23:30",0,1015,96,16,24/12/2999
Indonesia,27,Partly sunny.,Jakarta/Observatory,"18 Nov 2024, 10:29:50","18 Nov 2024, 07:00",6,1009,91,25,24/12/2999
Iran,10,Passing clouds.,Tehran-Mehrabad,"18 Nov 2024, 06:59:50","18 Nov 2024, 06:00",N/A,1018,58,2,24/12/2999
Iraq,12,Passing clouds.,Baghdad,"18 Nov 2024, 06:29:50","18 Nov 2024, 03:00",10,1013,85,10,24/12/2999
Ireland,3,Passing clouds.,Dublin Airport,"18 Nov 2024, 03:29:50","18 Nov 2024, 02:30",8,1013,100,3,24/12/2999
Isle of Man,5,Passing clouds.,Isle Of Man / Ronaldsway Airport,"18 Nov 2024, 03:29:50","18 Nov 2024, 01:50",N/A,1012,87,3,24/12/2999
Israel,14,Cool.,Khallat Ḩamāmah - MADIS Station,"18 Nov 2024, 05:29:51","18 Nov 2024, 04:27",N/A,912,79,11,24/12/2999
Italy,15,Clear.,Rome / Ciampino,"18 Nov 2024, 04:29:51","18 Nov 2024, 03:20",16,1013,77,11,24/12/2999
Jamaica,27,Haze.,Kingston / Norman Manley,"17 Nov 2024, 22:29:51","17 Nov 2024, 21:00",22,1012,84,24,24/12/2999
Japan,13,Partly sunny.,Tokyo Heliport,"18 Nov 2024, 12:29:52","18 Nov 2024, 11:00",N/A,1016,67,7,24/12/2999
Jordan,13,Clear.,Amman Airport,"18 Nov 2024, 06:29:52","18 Nov 2024, 05:00",8,1015,55,4,24/12/2999
Kazakhstan,-8,Ice fog.,Astana,"18 Nov 2024, 08:29:52","18 Nov 2024, 07:30",1,1022,93,-9,24/12/2999
Kiribati,32,Partly sunny.,Tarawa,"18 Nov 2024, 15:29:53","18 Nov 2024, 12:00",50,1008,68,25,24/12/2999
Kosovo,-3,Chilly.,Vranje,"18 Nov 2024, 04:29:53","18 Nov 2024, 01:00",N/A,1018,100,-3,24/12/2999
Kuwait,19,Clear.,Kuwait Internationalairport,"18 Nov 2024, 06:29:53","18 Nov 2024, 03:00",29,1012,62,12,24/12/2999
Kyrgyzstan,8,Passing clouds.,Bishkek,"18 Nov 2024, 09:29:54","18 Nov 2024, 06:00",N/A,1022,35,-6,24/12/2999
Laos,29,Clear.,Vientiane Airport,"18 Nov 2024, 10:29:54","18 Nov 2024, 09:30",8,1016,74,24,24/12/2999
Latvia,4,Partly cloudy.,Riga Airport,"18 Nov 2024, 05:29:54","18 Nov 2024, 04:20",N/A,987,87,2,24/12/2999
Lebanon,17,Thunderstorms. Passing clouds.,Beirut Airport,"18 Nov 2024, 05:29:54","18 Nov 2024, 04:00",5,1013,88,15,24/12/2999
Liberia,25,Passing clouds.,Roberts Field,"18 Nov 2024, 03:29:55","18 Nov 2024, 02:30",N/A,1010,94,24,24/12/2999
Liechtenstein,7,Passing clouds.,Saint Gallen-Altenrhein,"18 Nov 2024, 04:29:55","18 Nov 2024, 03:20",N/A,1015,100,7,24/12/2999
Lithuania,4,Overcast.,Vilnius Airport,"18 Nov 2024, 05:29:55","18 Nov 2024, 04:20",N/A,995,87,2,24/12/2999
Luxembourg,6,Sprinkles. Overcast.,Luxembourg Airport,"18 Nov 2024, 04:29:56","18 Nov 2024, 03:20",N/A,1011,93,5,24/12/2999
Madagascar,18,Partly sunny.,Antananarivo / Ivato,"18 Nov 2024, 06:29:56","18 Nov 2024, 05:30",N/A,1019,88,16,24/12/2999
Malaysia,29,Passing clouds.,Sultan Abdul Aziz Shah-Subang,"18 Nov 2024, 11:29:56","18 Nov 2024, 10:00",N/A,1009,74,24,24/12/2999
Maldives,26,Light rain. More clouds than sun.,Male Airport,"18 Nov 2024, 08:29:56","18 Nov 2024, 07:00",9,1009,94,25,24/12/2999
Mali,18,Clear.,Bamako / Senou,"18 Nov 2024, 03:29:57","18 Nov 2024, 02:30",16,1012,64,11,24/12/2999
Malta,19,Clear.,Luqa,"18 Nov 2024, 04:29:57","18 Nov 2024, 03:15",16,1015,88,17,24/12/2999
Marshall Islands,28,Light rain. Cloudy.,Majuro Atoll,"18 Nov 2024, 15:29:57","18 Nov 2024, 13:54",23,1006,87,25,24/12/2999
Mauritius,20,Passing clouds.,Vacoas (Mauritius),"18 Nov 2024, 07:29:58","18 Nov 2024, 04:00",15,N/A,88,18,24/12/2999
Mexico,20,Clear.,Mexico City / Licenci,"17 Nov 2024, 21:29:58","17 Nov 2024, 19:52",18,1022,46,8,24/12/2999
Micronesia,32,Scattered clouds.,Pohnpei,"18 Nov 2024, 14:29:58","18 Nov 2024, 12:55",24,1008,69,25,24/12/2999
Moldova,1,Clear.,Chisinau International Airport,"18 Nov 2024, 05:29:58","18 Nov 2024, 04:30",16,1008,93,0,24/12/2999
Monaco,11,Passing clouds.,Nice Airport,"18 Nov 2024, 04:29:59","18 Nov 2024, 03:30",N/A,1011,77,7,24/12/2999
Mongolia,-10,Sunny.,Ulan-Bator,"18 Nov 2024, 11:29:59","18 Nov 2024, 10:00",16,1024,62,-16,24/12/2999
Montenegro,7,Overcast.,Podgorica Titograd,"18 Nov 2024, 04:30:00","18 Nov 2024, 03:30",N/A,1015,81,4,24/12/2999
Montserrat,26,Passing clouds.,Vc Bird International Antigua Airport,"17 Nov 2024, 23:30:00","17 Nov 2024, 22:00",N/A,1012,84,23,24/12/2999
Morocco,16,Clear.,Rabat-Sale,"18 Nov 2024, 04:30:00","18 Nov 2024, 03:30",16,1017,100,16,24/12/2999
Mozambique,23,Passing clouds.,Maputo / Mavalane,"18 Nov 2024, 05:30:01","18 Nov 2024, 04:00",N/A,1014,89,21,24/12/2999
Namibia,24,Mild.,Windhoek,"18 Nov 2024, 05:30:01","18 Nov 2024, 02:00",N/A,N/A,22,1,24/12/2999
Nepal,15,Fog.,Kathmandu Airport,"18 Nov 2024, 09:15:01","18 Nov 2024, 08:15",4,1022,82,12,24/12/2999
Netherlands,6,Sprinkles. Passing clouds.,Amsterdam Schiphol Airport,"18 Nov 2024, 04:30:02","18 Nov 2024, 03:25",N/A,1008,81,3,24/12/2999
New Zealand,20,Clear.,Wellington Airport,"18 Nov 2024, 16:30:02","18 Nov 2024, 15:30",N/A,1026,46,8,24/12/2999
Nicaragua,25,Passing clouds.,Managua A. C. Sandino,"17 Nov 2024, 21:30:02","17 Nov 2024, 20:00",N/A,1012,94,24,24/12/2999
Niger,23,Clear.,Niamey-Aero,"18 Nov 2024, 04:30:02","18 Nov 2024, 02:00",8,1013,25,2,24/12/2999
Niue,27,Mostly cloudy.,Alofi / Niue,"17 Nov 2024, 16:30:02","17 Nov 2024, 15:30",N/A,1014,70,21,24/12/2999
North Korea,-1,Sunny.,Pyongyang,"18 Nov 2024, 12:30:03","18 Nov 2024, 09:00",10,1038,53,-9,24/12/2999
North Macedonia,-3,Clear.,Skopje-Petrovec,"18 Nov 2024, 04:30:03","18 Nov 2024, 01:50",16,1015,86,-5,24/12/2999
Norway,0,Chilly.,Oslo-Blindern,"18 Nov 2024, 04:30:03","18 Nov 2024, 01:00",50,992,74,-4,24/12/2999
Oman,27,Warm.,Mina Sultan Qaboos,"18 Nov 2024, 07:30:04","18 Nov 2024, 06:00",N/A,1014,68,21,24/12/2999
Pakistan,12,Fog.,Islamabad Airport,"18 Nov 2024, 08:30:04","18 Nov 2024, 05:00",N/A,1018,83,9,24/12/2999
Palau,29,Overcast.,Babelthuap Island  Babelthuap/Koror Airport,"18 Nov 2024, 12:30:04","18 Nov 2024, 09:00",21,1011,81,26,24/12/2999
Panama,27,Passing clouds.,Marcos A. Gelabert,"17 Nov 2024, 22:30:04","17 Nov 2024, 21:00",N/A,1012,84,24,24/12/2999
Papua New Guinea,33,Scattered clouds.,Moresby,"18 Nov 2024, 13:30:04","18 Nov 2024, 11:00",N/A,1008,63,25,24/12/2999
Paraguay,24,Thunderstorms. Mostly cloudy.,Asuncion / Aeropuerto,"18 Nov 2024, 00:30:05","17 Nov 2024, 23:00",9,1010,94,23,24/12/2999
Peru,20,Overcast.,Lima-Callao / Aerop. Internacional Jorgechavez,"17 Nov 2024, 22:30:05","17 Nov 2024, 19:00",10,1014,83,17,24/12/2999
Philippines,28,Overcast.,Science Garden,"18 Nov 2024, 11:30:05","18 Nov 2024, 08:00",8,1012,83,25,24/12/2999
Poland,6,Passing clouds.,Warsaw Okecie Airport,"18 Nov 2024, 04:30:05","18 Nov 2024, 03:30",N/A,1002,76,2,24/12/2999
Portugal,15,Clear.,Lisbon Portela Airport,"18 Nov 2024, 03:30:05","18 Nov 2024, 02:30",16,1018,94,14,24/12/2999
Puerto Rico,25,Light rain. Fog.,Luis Munoz Marin,"17 Nov 2024, 23:30:06","17 Nov 2024, 21:56",10,1014,90,23,24/12/2999
Qatar,22,Passing clouds.,Doha International Airport,"18 Nov 2024, 06:30:06","18 Nov 2024, 05:30",N/A,1014,73,17,24/12/2999
Réunion (French),25,Sunny.,Saint-Denis / Gillot,"18 Nov 2024, 07:30:06","18 Nov 2024, 06:30",16,1014,61,17,24/12/2999
Romania,-1,Ice fog.,Bucharest / Imh,"18 Nov 2024, 05:30:06","18 Nov 2024, 04:30",1,1010,93,-2,24/12/2999
Russia,4,Overcast.,Moskva,"18 Nov 2024, 06:30:06","18 Nov 2024, 03:00",14,999,84,1,24/12/2999
Rwanda,17,Partly cloudy.,Kigali Airport,"18 Nov 2024, 05:30:06","18 Nov 2024, 04:30",6,1018,100,17,24/12/2999
Saint Kitts and Nevis,25,Thundershowers. Passing clouds.,Golden Rock,"17 Nov 2024, 23:30:07","17 Nov 2024, 21:00",N/A,1012,89,23,24/12/2999
Saint Lucia,25,Passing clouds.,Vigie,"17 Nov 2024, 23:30:07","17 Nov 2024, 20:00",N/A,1012,89,23,24/12/2999
Saint Vincent and Grenadines,26,Rain. Mostly cloudy.,Hewanorra International Airport,"17 Nov 2024, 23:30:07","17 Nov 2024, 22:00",7,1013,89,24,24/12/2999
Samoa,25,Drizzle. Overcast.,Apia / Upolu Island,"18 Nov 2024, 16:30:07","18 Nov 2024, 16:00",20,1010,93,24,24/12/2999
San Marino,8,Fog.,Rimini Airport,"18 Nov 2024, 04:30:07","18 Nov 2024, 03:20",0,1012,100,8,24/12/2999
Saudi Arabia,19,Clear.,King Khaled International Airport,"18 Nov 2024, 06:30:08","18 Nov 2024, 05:00",16,1016,40,5,24/12/2999
Senegal,26,Passing clouds.,Dakar / Yoff,"18 Nov 2024, 03:30:08","18 Nov 2024, 02:00",N/A,1010,84,23,24/12/2999
Serbia,1,Fog.,Beograd,"18 Nov 2024, 04:30:08","18 Nov 2024, 01:00",3,1015,93,0,24/12/2999
Seychelles,28,Partly sunny.,National Airport,"18 Nov 2024, 07:30:08","18 Nov 2024, 06:00",N/A,1009,74,23,24/12/2999
Singapore,29,Partly sunny.,Singapore / Paya Lebar,"18 Nov 2024, 11:30:09","18 Nov 2024, 10:00",N/A,1010,74,24,24/12/2999
Slovakia,2,Fog.,Bratislava Ivanka,"18 Nov 2024, 04:30:09","18 Nov 2024, 03:30",4,1012,93,1,24/12/2999
Slovenia,-2,Passing clouds.,Ljubljana Airport / Brnik,"18 Nov 2024, 04:30:09","18 Nov 2024, 03:30",N/A,1012,100,-2,24/12/2999
Solomon Islands,31,Thunderstorms. Overcast.,Munda,"18 Nov 2024, 14:30:09","18 Nov 2024, 11:00",20,1010,70,25,24/12/2999
Solomon Islands,33,Passing clouds.,Honiara,"18 Nov 2024, 14:30:09","18 Nov 2024, 11:00",20,1010,58,24,24/12/2999
South Korea,5,Sunny.,Seoul / Kimp'O International Airport,"18 Nov 2024, 12:30:09","18 Nov 2024, 11:00",16,1035,24,-14,24/12/2999
Spain,11,Clear.,Madrid / Cuatro Vientos,"18 Nov 2024, 04:30:10","18 Nov 2024, 03:30",16,1020,94,10,24/12/2999
Sri Lanka,28,Passing clouds.,Katunayake,"18 Nov 2024, 09:00:11","18 Nov 2024, 07:40",N/A,1010,89,26,24/12/2999
Suriname,26,Passing clouds.,Zorg En Hoop,"18 Nov 2024, 00:30:11","17 Nov 2024, 21:00",20,1010,93,24,24/12/2999
Sweden,4,Overcast.,Stockholm Bromma Airport,"18 Nov 2024, 04:30:11","18 Nov 2024, 03:20",N/A,987,61,-3,24/12/2999
Switzerland,8,Mostly cloudy.,Bern / Belp,"18 Nov 2024, 04:30:12","18 Nov 2024, 03:20",N/A,1016,71,3,24/12/2999
Syria,11,Passing clouds.,Damascus Int. Airport,"18 Nov 2024, 06:30:12","18 Nov 2024, 05:00",N/A,1014,82,8,24/12/2999
Taiwan,21,Drizzle. Partly sunny.,Sungshan / Taipei,"18 Nov 2024, 11:30:12","18 Nov 2024, 10:30",9,1023,78,17,24/12/2999
Tajikistan,9,Scattered clouds.,Dushanbe Airport,"18 Nov 2024, 08:30:12","18 Nov 2024, 07:30",N/A,1022,58,1,24/12/2999
Tanzania,28,Scattered clouds.,Dodoma,"18 Nov 2024, 06:30:12","17 Nov 2024, 18:00",30,N/A,45,15,24/12/2999
Thailand,29,Passing clouds.,Don Muang Airport,"18 Nov 2024, 10:30:13","18 Nov 2024, 09:30",N/A,1013,58,20,24/12/2999
Togo,27,Passing clouds.,Lome Airport,"18 Nov 2024, 03:30:13","18 Nov 2024, 02:00",8,1010,89,25,24/12/2999
Tonga,27,Broken clouds.,Fua'Amotu,"18 Nov 2024, 16:30:13","18 Nov 2024, 15:00",N/A,1015,94,26,24/12/2999
Trinidad and Tobago,25,Passing clouds.,Piarco International Airport - Trinidad,"17 Nov 2024, 23:30:13","17 Nov 2024, 22:00",N/A,1011,94,24,24/12/2999
Tunisia,16,Passing clouds.,Tunis-Carthage,"18 Nov 2024, 04:30:14","18 Nov 2024, 02:30",N/A,1016,63,9,24/12/2999
Turkey,6,Partly cloudy.,Ankara / Guvercin Lik,"18 Nov 2024, 06:30:14","18 Nov 2024, 04:50",8,1010,100,6,24/12/2999
Turkmenistan,9,Overcast.,Ashgabat,"18 Nov 2024, 08:30:14","18 Nov 2024, 07:00",N/A,1020,82,6,24/12/2999
Tuvalu,32,Scattered clouds.,Funafuti,"18 Nov 2024, 15:30:14","18 Nov 2024, 14:00",N/A,1007,75,27,24/12/2999
Uganda,20,Passing clouds.,Entebbe Airport,"18 Nov 2024, 06:30:14","18 Nov 2024, 04:00",N/A,1015,88,18,24/12/2999
Ukraine,2,Passing clouds.,Kyiv,"18 Nov 2024, 05:30:15","18 Nov 2024, 02:00",20,1007,86,0,24/12/2999
United Arab Emirates,24,Clear.,Abu Dhabi Bateen Airport,"18 Nov 2024, 07:30:15","18 Nov 2024, 06:00",16,1014,74,19,24/12/2999
United Kingdom,7,Partly cloudy.,Northolt,"18 Nov 2024, 03:30:15","18 Nov 2024, 02:20",N/A,1011,100,7,24/12/2999
Uruguay,17,Drizzle. Overcast.,Carrasco,"18 Nov 2024, 00:30:15","17 Nov 2024, 23:00",8,1016,100,17,24/12/2999
USA,10,High level clouds.,Reagan National Airport,"17 Nov 2024, 22:30:15","17 Nov 2024, 21:52",16,1017,68,4,24/12/2999
Uzbekistan,9,Clear.,Tashkent,"18 Nov 2024, 08:30:16","18 Nov 2024, 07:30",7,1022,71,4,24/12/2999
Vanuatu,30,Scattered clouds.,Bauerfield Efate,"18 Nov 2024, 14:30:16","18 Nov 2024, 13:00",N/A,1011,70,24,24/12/2999
Vatican City State,15,Clear.,Rome / Ciampino,"18 Nov 2024, 04:30:16","18 Nov 2024, 03:20",16,1013,77,11,24/12/2999
Venezuela,27,Clear.,Caracas / Maiquetia Aerop. Intl. Simon Bolivar,"17 Nov 2024, 23:30:17","17 Nov 2024, 23:03",N/A,1014,N/A,N/A,24/12/2999
Vietnam,27,Scattered clouds.,Ha Noi Airport,"18 Nov 2024, 10:30:17","18 Nov 2024, 09:30",6,1018,74,22,24/12/2999
Zambia,29,Scattered clouds.,Lusaka Internationalairport,"18 Nov 2024, 05:30:17","17 Nov 2024, 11:00",30,N/A,42,14,24/12/2999
Zimbabwe,18,Light rain. Overcast.,Harare Kutsaga,"18 Nov 2024, 05:30:17","17 Nov 2024, 20:00",25,N/A,92,16,24/12/2999
